time		Reason		PacketID		EPIT		LPIA		WS		STT		[L3P0		L3P1		L3P2]		TAF		DAF		SAF		TimeoutOccurred		RTTmin		RTTmax		RTTAct
1.000000e+03		start		-1		0		-1		1.000e+00		-1.000000e+00		-3		-2		-1		False		False		False		False		-1.000000e+00		-1.000000e+00		-1.000000e+00
1.000000e+03		send		0		1		-1		1.000e+00		-1.000000e+00		-3		-2		-1		False		False		False		False		-1.000000e+00		-1.000000e+00		-1.000000e+00
1.020851e+03		receive		0		0		0		1.000e+00		-1.000000e+00		-2		-1		0		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.020851e+03		send		1		1		0		1.000e+00		-1.000000e+00		-2		-1		0		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.041702e+03		receive		1		0		1		1.000e+00		-1.000000e+00		-1		0		1		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.041702e+03		send		2		1		1		1.000e+00		-1.000000e+00		-1		0		1		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.062554e+03		receive		2		0		2		1.000e+00		-1.000000e+00		0		1		2		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.062554e+03		send		3		1		2		1.000e+00		-1.000000e+00		0		1		2		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.083405e+03		receive		3		0		3		1.000e+00		-1.000000e+00		1		2		3		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.083405e+03		send		4		1		3		1.000e+00		-1.000000e+00		1		2		3		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.104256e+03		receive		4		0		4		1.000e+00		-1.000000e+00		2		3		4		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.104256e+03		send		5		1		4		1.000e+00		-1.000000e+00		2		3		4		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.125107e+03		receive		5		0		5		1.000e+00		-1.000000e+00		3		4		5		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.125107e+03		send		6		1		5		1.000e+00		-1.000000e+00		3		4		5		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.145958e+03		receive		6		0		6		1.000e+00		-1.000000e+00		4		5		6		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.145958e+03		send		7		1		6		1.000e+00		-1.000000e+00		4		5		6		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.166810e+03		receive		7		0		7		1.000e+00		-1.000000e+00		5		6		7		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.166810e+03		send		8		1		7		1.000e+00		-1.000000e+00		5		6		7		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.187661e+03		receive		8		0		8		1.000e+00		-1.000000e+00		6		7		8		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.187661e+03		send		9		1		8		1.000e+00		-1.000000e+00		6		7		8		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.208512e+03		receive		9		0		9		1.000e+00		-1.000000e+00		7		8		9		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.208512e+03		send		10		1		9		1.000e+00		-1.000000e+00		7		8		9		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		receive		10		0		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		11		1		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		12		2		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		13		3		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		14		4		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		15		5		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		16		6		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		17		7		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		18		8		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		19		9		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		20		10		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		21		11		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		22		12		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		23		13		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		24		14		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		25		15		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		26		16		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		27		17		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		28		18		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		29		19		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.229363e+03		send		30		20		10		2.100e+01		-1.000000e+00		8		9		10		False		False		True		False		2.085120e+01		2.085120e+01		2.085120e+01
1.275414e+03		receive		11		19		11		2.100e+01		-1.000000e+00		9		10		11		False		False		True		False		2.085120e+01		4.605120e+01		2.295120e+01
1.275414e+03		send		31		20		11		2.100e+01		-1.000000e+00		9		10		11		False		False		True		False		2.085120e+01		4.605120e+01		2.295120e+01
1.285466e+03		receive		12		19		12		2.100e+01		-1.000000e+00		10		11		12		False		False		True		False		2.085120e+01		5.610240e+01		2.550129e+01
1.285466e+03		send		32		20		12		2.100e+01		-1.000000e+00		10		11		12		False		False		True		False		2.085120e+01		5.610240e+01		2.550129e+01
1.285517e+03		receive		13		19		13		2.100e+01		-1.000000e+00		11		12		13		False		False		True		False		2.085120e+01		5.615360e+01		2.769074e+01
1.285517e+03		send		33		20		13		2.100e+01		-1.000000e+00		11		12		13		False		False		True		False		2.085120e+01		5.615360e+01		2.769074e+01
1.285568e+03		receive		14		19		14		2.100e+01		-1.000000e+00		12		13		14		False		False		True		False		2.085120e+01		5.620480e+01		2.959168e+01
1.285568e+03		send		34		20		14		2.100e+01		-1.000000e+00		12		13		14		False		False		True		False		2.085120e+01		5.620480e+01		2.959168e+01
1.285619e+03		receive		15		19		15		2.100e+01		-1.000000e+00		13		14		15		False		False		True		False		2.085120e+01		5.625600e+01		3.195200e+01
1.285619e+03		send		35		20		15		2.100e+01		-1.000000e+00		13		14		15		False		False		True		False		2.085120e+01		5.625600e+01		3.195200e+01
1.285670e+03		receive		16		19		16		2.100e+01		-1.000000e+00		14		15		16		False		False		True		False		2.085120e+01		5.630720e+01		3.431573e+01
1.285670e+03		send		36		20		16		2.100e+01		-1.000000e+00		14		15		16		False		False		True		False		2.085120e+01		5.630720e+01		3.431573e+01
1.285722e+03		receive		17		19		17		2.100e+01		-1.000000e+00		15		16		17		False		False		True		False		2.085120e+01		5.635840e+01		3.668288e+01
1.285722e+03		send		37		20		17		2.100e+01		-1.000000e+00		15		16		17		False		False		True		False		2.085120e+01		5.635840e+01		3.668288e+01
1.285773e+03		receive		18		19		18		2.100e+01		-1.000000e+00		16		17		18		False		False		True		False		2.085120e+01		5.640960e+01		3.905344e+01
1.285773e+03		send		38		20		18		2.100e+01		-1.000000e+00		16		17		18		False		False		True		False		2.085120e+01		5.640960e+01		3.905344e+01
1.285824e+03		receive		19		19		19		2.100e+01		-1.000000e+00		17		18		19		False		False		True		False		2.085120e+01		5.646080e+01		4.142741e+01
1.285824e+03		send		39		20		19		2.100e+01		-1.000000e+00		17		18		19		False		False		True		False		2.085120e+01		5.646080e+01		4.142741e+01
1.285875e+03		receive		20		19		20		2.100e+01		-1.000000e+00		18		19		20		False		False		True		False		2.085120e+01		5.651200e+01		4.380480e+01
1.285875e+03		send		40		20		20		2.100e+01		-1.000000e+00		18		19		20		False		False		True		False		2.085120e+01		5.651200e+01		4.380480e+01
1.285926e+03		receive		21		19		21		2.100e+01		-1.000000e+00		19		20		21		False		False		True		False		2.085120e+01		5.656320e+01		4.618560e+01
1.285926e+03		send		41		20		21		2.100e+01		-1.000000e+00		19		20		21		False		False		True		False		2.085120e+01		5.656320e+01		4.618560e+01
1.285978e+03		receive		22		19		22		2.100e+01		-1.000000e+00		20		21		22		False		False		True		False		2.085120e+01		5.661440e+01		4.856981e+01
1.285978e+03		send		42		20		22		2.100e+01		-1.000000e+00		20		21		22		False		False		True		False		2.085120e+01		5.661440e+01		4.856981e+01
1.286029e+03		receive		23		19		23		2.100e+01		-1.000000e+00		21		22		23		False		False		True		False		2.085120e+01		5.666560e+01		5.095744e+01
1.286029e+03		send		43		20		23		2.100e+01		-1.000000e+00		21		22		23		False		False		True		False		2.085120e+01		5.666560e+01		5.095744e+01
1.286080e+03		receive		24		19		24		2.100e+01		-1.000000e+00		22		23		24		False		False		True		False		2.085120e+01		5.671680e+01		5.334848e+01
1.286080e+03		send		44		20		24		2.100e+01		-1.000000e+00		22		23		24		False		False		True		False		2.085120e+01		5.671680e+01		5.334848e+01
1.286131e+03		receive		25		19		25		2.100e+01		-1.000000e+00		23		24		25		False		False		True		False		2.085120e+01		5.676800e+01		5.574293e+01
1.286131e+03		send		45		20		25		2.100e+01		-1.000000e+00		23		24		25		False		False		True		False		2.085120e+01		5.676800e+01		5.574293e+01
1.286182e+03		receive		26		19		26		2.100e+01		-1.000000e+00		24		25		26		False		False		True		False		2.085120e+01		5.681920e+01		5.646080e+01
1.286182e+03		send		46		20		26		2.100e+01		-1.000000e+00		24		25		26		False		False		True		False		2.085120e+01		5.681920e+01		5.646080e+01
1.286234e+03		receive		27		19		27		2.100e+01		-1.000000e+00		25		26		27		False		False		True		False		2.085120e+01		5.687040e+01		5.651200e+01
1.286234e+03		send		47		20		27		2.100e+01		-1.000000e+00		25		26		27		False		False		True		False		2.085120e+01		5.687040e+01		5.651200e+01
1.286285e+03		receive		28		19		28		2.100e+01		-1.000000e+00		26		27		28		False		False		True		False		2.085120e+01		5.692160e+01		5.656320e+01
1.286285e+03		send		48		20		28		2.100e+01		-1.000000e+00		26		27		28		False		False		True		False		2.085120e+01		5.692160e+01		5.656320e+01
1.286336e+03		receive		29		19		29		2.100e+01		-1.000000e+00		27		28		29		False		False		True		False		2.085120e+01		5.697280e+01		5.661440e+01
1.286336e+03		send		49		20		29		2.100e+01		-1.000000e+00		27		28		29		False		False		True		False		2.085120e+01		5.697280e+01		5.661440e+01
1.286387e+03		receive		30		19		30		2.100e+01		-1.000000e+00		28		29		30		False		False		True		False		2.085120e+01		5.702400e+01		5.666560e+01
1.286387e+03		send		50		20		30		2.100e+01		-1.000000e+00		28		29		30		False		False		True		False		2.085120e+01		5.702400e+01		5.666560e+01
1.332438e+03		receive		31		19		31		2.100e+01		-1.000000e+00		29		30		31		False		False		True		False		2.085120e+01		5.702400e+01		5.671339e+01
1.332438e+03		send		51		20		31		2.100e+01		-1.000000e+00		29		30		31		False		False		True		False		2.085120e+01		5.702400e+01		5.671339e+01
1.342490e+03		receive		32		19		32		2.100e+01		-1.000000e+00		30		31		32		False		False		True		False		2.085120e+01		5.702400e+01		5.675776e+01
1.342490e+03		send		52		20		32		2.100e+01		-1.000000e+00		30		31		32		False		False		True		False		2.085120e+01		5.702400e+01		5.675776e+01
1.342541e+03		receive		33		19		33		2.100e+01		-1.000000e+00		31		32		33		False		False		True		False		2.085120e+01		5.702400e+01		5.679872e+01
