time		value
1.000000e+03		1.562500e-02
1.000000e+03		0.000000e+00
1.020851e+03		1.562500e-02
1.020851e+03		0.000000e+00
1.041702e+03		1.562500e-02
1.041702e+03		0.000000e+00
1.062554e+03		1.562500e-02
1.062554e+03		0.000000e+00
1.083405e+03		1.562500e-02
1.083405e+03		0.000000e+00
1.104256e+03		1.562500e-02
1.104256e+03		0.000000e+00
1.125107e+03		1.562500e-02
1.125107e+03		0.000000e+00
1.145958e+03		1.562500e-02
1.145958e+03		0.000000e+00
1.166810e+03		1.562500e-02
1.166810e+03		0.000000e+00
1.187661e+03		1.562500e-02
1.187661e+03		0.000000e+00
1.208512e+03		1.562500e-02
1.208512e+03		0.000000e+00
1.229363e+03		1.562500e-02
1.229363e+03		0.000000e+00
1.229363e+03		1.562500e-02
1.229363e+03		3.125000e-02
1.229363e+03		4.687500e-02
1.229363e+03		6.250000e-02
1.229363e+03		7.812500e-02
1.229363e+03		9.375000e-02
1.229363e+03		1.093750e-01
1.229363e+03		1.250000e-01
1.229363e+03		1.406250e-01
1.229363e+03		1.562500e-01
1.229363e+03		1.718750e-01
1.229363e+03		1.875000e-01
1.229363e+03		2.031250e-01
1.229363e+03		2.187500e-01
1.229363e+03		2.343750e-01
1.229363e+03		2.500000e-01
1.229363e+03		2.656250e-01
1.229363e+03		2.812500e-01
1.229363e+03		2.968750e-01
1.240163e+03		2.812500e-01
1.240963e+03		2.656250e-01
1.241763e+03		2.500000e-01
1.242563e+03		2.343750e-01
1.243363e+03		2.187500e-01
1.244163e+03		2.031250e-01
1.244963e+03		1.875000e-01
1.245763e+03		1.718750e-01
1.246563e+03		1.562500e-01
1.247363e+03		1.406250e-01
1.248163e+03		1.250000e-01
1.248963e+03		1.093750e-01
1.249763e+03		9.375000e-02
1.250563e+03		7.812500e-02
1.251363e+03		6.250000e-02
1.252163e+03		4.687500e-02
1.252963e+03		3.125000e-02
1.253763e+03		1.562500e-02
1.254563e+03		0.000000e+00
1.275414e+03		1.562500e-02
1.285466e+03		3.125000e-02
1.285517e+03		4.687500e-02
1.285568e+03		6.250000e-02
1.285619e+03		7.812500e-02
1.285670e+03		9.375000e-02
1.285722e+03		1.093750e-01
1.285773e+03		1.250000e-01
1.285824e+03		1.406250e-01
1.285875e+03		1.562500e-01
1.285926e+03		1.718750e-01
1.285978e+03		1.875000e-01
1.286029e+03		2.031250e-01
1.286080e+03		2.187500e-01
1.286131e+03		2.343750e-01
1.286182e+03		2.500000e-01
1.286234e+03		2.656250e-01
1.286285e+03		2.812500e-01
1.286336e+03		2.968750e-01
1.286387e+03		2.812500e-01
1.286387e+03		2.968750e-01
1.297187e+03		2.812500e-01
1.297987e+03		2.656250e-01
1.298787e+03		2.500000e-01
1.299587e+03		2.343750e-01
1.300387e+03		2.187500e-01
1.301187e+03		2.031250e-01
1.301987e+03		1.875000e-01
1.302787e+03		1.718750e-01
1.303587e+03		1.562500e-01
1.304387e+03		1.406250e-01
1.305187e+03		1.250000e-01
1.305987e+03		1.093750e-01
1.306787e+03		9.375000e-02
1.307587e+03		7.812500e-02
1.308387e+03		6.250000e-02
1.309187e+03		4.687500e-02
1.309987e+03		3.125000e-02
1.310787e+03		1.562500e-02
1.311587e+03		0.000000e+00
1.332438e+03		1.562500e-02
1.342490e+03		3.125000e-02
1.342541e+03		4.687500e-02
1.342592e+03		6.250000e-02
1.342643e+03		7.812500e-02
1.342694e+03		9.375000e-02
1.342746e+03		1.093750e-01
1.342797e+03		1.250000e-01
1.342848e+03		1.406250e-01
1.342899e+03		1.562500e-01
1.342950e+03		1.718750e-01
1.343002e+03		1.875000e-01
1.343053e+03		2.031250e-01
1.343104e+03		2.187500e-01
1.343155e+03		2.343750e-01
1.343206e+03		2.500000e-01
1.343258e+03		2.656250e-01
1.343309e+03		2.812500e-01
1.343360e+03		2.968750e-01
1.343411e+03		2.812500e-01
1.343411e+03		2.968750e-01
1.354211e+03		2.812500e-01
1.355011e+03		2.656250e-01
1.355811e+03		2.500000e-01
1.356611e+03		2.343750e-01
1.357411e+03		2.187500e-01
1.358211e+03		2.031250e-01
1.359011e+03		1.875000e-01
1.359811e+03		1.718750e-01
1.360611e+03		1.562500e-01
1.361411e+03		1.406250e-01
1.362211e+03		1.250000e-01
1.363011e+03		1.093750e-01
1.363811e+03		9.375000e-02
1.364611e+03		7.812500e-02
1.365411e+03		6.250000e-02
1.366211e+03		4.687500e-02
1.367011e+03		3.125000e-02
1.367811e+03		1.562500e-02
1.368611e+03		0.000000e+00
1.389462e+03		1.562500e-02
1.399514e+03		3.125000e-02
1.399565e+03		4.687500e-02
1.399616e+03		6.250000e-02
1.399667e+03		7.812500e-02
1.399718e+03		9.375000e-02
1.399770e+03		1.093750e-01
1.399821e+03		1.250000e-01
1.399872e+03		1.406250e-01
1.399923e+03		1.562500e-01
1.399974e+03		1.718750e-01
1.400026e+03		1.875000e-01
1.400077e+03		2.031250e-01
1.400128e+03		2.187500e-01
1.400179e+03		2.343750e-01
1.400230e+03		2.500000e-01
1.400282e+03		2.656250e-01
1.400333e+03		2.812500e-01
1.400384e+03		2.968750e-01
1.400435e+03		2.812500e-01
1.400435e+03		2.968750e-01
1.411235e+03		2.812500e-01
1.412035e+03		2.656250e-01
1.412835e+03		2.500000e-01
1.413635e+03		2.343750e-01
1.414435e+03		2.187500e-01
1.415235e+03		2.031250e-01
1.416035e+03		1.875000e-01
1.416835e+03		1.718750e-01
1.417635e+03		1.562500e-01
1.418435e+03		1.406250e-01
1.419235e+03		1.250000e-01
1.420035e+03		1.093750e-01
1.420835e+03		9.375000e-02
1.421635e+03		7.812500e-02
1.422435e+03		6.250000e-02
1.423235e+03		4.687500e-02
1.424035e+03		3.125000e-02
1.424835e+03		1.562500e-02
1.425635e+03		0.000000e+00
1.446486e+03		1.562500e-02
1.446486e+03		3.125000e-02
1.446486e+03		4.687500e-02
1.446486e+03		6.250000e-02
1.446486e+03		7.812500e-02
1.446486e+03		9.375000e-02
1.446486e+03		1.093750e-01
1.446486e+03		1.250000e-01
1.456538e+03		1.406250e-01
1.456589e+03		1.562500e-01
1.456640e+03		1.718750e-01
1.456691e+03		1.875000e-01
1.456742e+03		2.031250e-01
1.456794e+03		2.187500e-01
1.456845e+03		2.343750e-01
1.456896e+03		2.500000e-01
1.456947e+03		2.656250e-01
1.456998e+03		2.812500e-01
1.457050e+03		2.968750e-01
1.457101e+03		3.125000e-01
1.457152e+03		3.281250e-01
1.457203e+03		3.437500e-01
1.457254e+03		3.593750e-01
1.457306e+03		3.750000e-01
1.457357e+03		3.906250e-01
1.457408e+03		4.062500e-01
1.457459e+03		3.906250e-01
1.457459e+03		4.062500e-01
1.468259e+03		3.906250e-01
1.469059e+03		3.750000e-01
1.469859e+03		3.593750e-01
1.470659e+03		3.437500e-01
1.471459e+03		3.281250e-01
1.472259e+03		3.125000e-01
1.473059e+03		2.968750e-01
1.473859e+03		2.812500e-01
1.474659e+03		2.656250e-01
1.475459e+03		2.500000e-01
1.476259e+03		2.343750e-01
1.477059e+03		2.187500e-01
1.477859e+03		2.031250e-01
1.478659e+03		1.875000e-01
1.479459e+03		1.718750e-01
1.480259e+03		1.562500e-01
1.481059e+03		1.406250e-01
1.481859e+03		1.250000e-01
1.482659e+03		1.093750e-01
1.483459e+03		9.375000e-02
1.484259e+03		7.812500e-02
1.485059e+03		6.250000e-02
1.485859e+03		4.687500e-02
1.486659e+03		3.125000e-02
1.487459e+03		1.562500e-02
1.488259e+03		0.000000e+00
1.509110e+03		1.562500e-02
1.519162e+03		3.125000e-02
1.519213e+03		4.687500e-02
1.519264e+03		6.250000e-02
1.519315e+03		7.812500e-02
1.519366e+03		9.375000e-02
1.519418e+03		1.093750e-01
1.519469e+03		1.250000e-01
1.519520e+03		1.406250e-01
1.519571e+03		1.562500e-01
1.519622e+03		1.718750e-01
1.519674e+03		1.875000e-01
1.519725e+03		2.031250e-01
1.519776e+03		2.187500e-01
1.519827e+03		2.343750e-01
1.519878e+03		2.500000e-01
1.519930e+03		2.656250e-01
1.519981e+03		2.812500e-01
1.520032e+03		2.968750e-01
1.520083e+03		3.125000e-01
1.520134e+03		3.281250e-01
1.520186e+03		3.437500e-01
1.520237e+03		3.593750e-01
1.520288e+03		3.750000e-01
1.520339e+03		3.906250e-01
1.520390e+03		4.062500e-01
1.520442e+03		3.906250e-01
1.520442e+03		4.062500e-01
1.531242e+03		3.906250e-01
1.532042e+03		3.750000e-01
1.532842e+03		3.593750e-01
1.533642e+03		3.437500e-01
1.534442e+03		3.281250e-01
1.535242e+03		3.125000e-01
1.536042e+03		2.968750e-01
1.536842e+03		2.812500e-01
1.537642e+03		2.656250e-01
1.538442e+03		2.500000e-01
1.539242e+03		2.343750e-01
1.540042e+03		2.187500e-01
1.540842e+03		2.031250e-01
1.541642e+03		1.875000e-01
1.542442e+03		1.718750e-01
1.543242e+03		1.562500e-01
1.544042e+03		1.406250e-01
1.544842e+03		1.250000e-01
1.545642e+03		1.093750e-01
1.546442e+03		9.375000e-02
1.547242e+03		7.812500e-02
1.548042e+03		6.250000e-02
1.548842e+03		4.687500e-02
1.549642e+03		3.125000e-02
1.550442e+03		1.562500e-02
1.551242e+03		0.000000e+00
1.572093e+03		1.562500e-02
1.582144e+03		3.125000e-02
1.582195e+03		4.687500e-02
1.582246e+03		6.250000e-02
1.582298e+03		7.812500e-02
1.582349e+03		9.375000e-02
1.582400e+03		1.093750e-01
1.582451e+03		1.250000e-01
1.582502e+03		1.406250e-01
1.582554e+03		1.562500e-01
1.582605e+03		1.718750e-01
1.582656e+03		1.875000e-01
1.582707e+03		2.031250e-01
1.582758e+03		2.187500e-01
1.582810e+03		2.343750e-01
1.582861e+03		2.500000e-01
1.582912e+03		2.656250e-01
1.582963e+03		2.812500e-01
1.583014e+03		2.968750e-01
1.583066e+03		3.125000e-01
1.583117e+03		3.281250e-01
1.583168e+03		3.437500e-01
1.583219e+03		3.593750e-01
1.583270e+03		3.750000e-01
1.583322e+03		3.906250e-01
1.583373e+03		4.062500e-01
1.583424e+03		3.906250e-01
1.583424e+03		4.062500e-01
1.594224e+03		3.906250e-01
1.595024e+03		3.750000e-01
1.595824e+03		3.593750e-01
1.596624e+03		3.437500e-01
1.597424e+03		3.281250e-01
1.598224e+03		3.125000e-01
1.599024e+03		2.968750e-01
1.599824e+03		2.812500e-01
1.600624e+03		2.656250e-01
1.601424e+03		2.500000e-01
1.602224e+03		2.343750e-01
1.603024e+03		2.187500e-01
1.603824e+03		2.031250e-01
1.604624e+03		1.875000e-01
1.605424e+03		1.718750e-01
1.606224e+03		1.562500e-01
1.607024e+03		1.406250e-01
1.607824e+03		1.250000e-01
1.608624e+03		1.093750e-01
1.609424e+03		9.375000e-02
1.610224e+03		7.812500e-02
1.611024e+03		6.250000e-02
1.611824e+03		4.687500e-02
1.612624e+03		3.125000e-02
1.613424e+03		1.562500e-02
1.614224e+03		0.000000e+00
1.635075e+03		1.562500e-02
1.645126e+03		3.125000e-02
1.645178e+03		4.687500e-02
1.645229e+03		6.250000e-02
1.645280e+03		7.812500e-02
1.645331e+03		9.375000e-02
1.645382e+03		1.093750e-01
1.645434e+03		1.250000e-01
1.645485e+03		1.406250e-01
1.645536e+03		1.562500e-01
1.645587e+03		1.718750e-01
1.645638e+03		1.875000e-01
