time		value
1.010800e+03		1.000000e-03
1.010800e+03		0.000000e+00
1.031651e+03		1.000000e-03
1.042451e+03		0.000000e+00
1.042451e+03		1.000000e-03
1.052502e+03		0.000000e+00
1.073354e+03		1.000000e-03
1.084154e+03		2.000000e-03
1.084954e+03		3.000000e-03
1.085754e+03		2.000000e-03
1.085754e+03		3.000000e-03
1.095805e+03		2.000000e-03
1.095856e+03		1.000000e-03
1.095907e+03		0.000000e+00
1.116758e+03		1.000000e-03
1.127558e+03		2.000000e-03
1.128358e+03		3.000000e-03
1.129158e+03		4.000000e-03
1.129958e+03		5.000000e-03
1.130758e+03		6.000000e-03
1.131558e+03		7.000000e-03
1.132358e+03		6.000000e-03
1.132358e+03		7.000000e-03
1.142410e+03		6.000000e-03
1.142461e+03		5.000000e-03
1.142512e+03		4.000000e-03
1.142563e+03		3.000000e-03
1.142614e+03		2.000000e-03
1.142666e+03		1.000000e-03
1.142717e+03		0.000000e+00
1.163568e+03		1.000000e-03
1.174368e+03		2.000000e-03
1.175168e+03		3.000000e-03
1.175968e+03		4.000000e-03
1.176768e+03		5.000000e-03
1.177568e+03		6.000000e-03
1.178368e+03		7.000000e-03
1.179168e+03		8.000000e-03
1.179968e+03		9.000000e-03
1.180768e+03		1.000000e-02
1.181568e+03		1.100000e-02
1.182368e+03		1.200000e-02
1.183168e+03		1.300000e-02
1.183968e+03		1.400000e-02
1.184768e+03		1.500000e-02
1.185568e+03		1.400000e-02
1.185568e+03		1.500000e-02
1.195619e+03		1.400000e-02
1.195670e+03		1.300000e-02
1.195722e+03		1.200000e-02
1.195773e+03		1.100000e-02
1.195824e+03		1.000000e-02
1.195875e+03		9.000000e-03
1.195926e+03		8.000000e-03
1.195978e+03		7.000000e-03
1.196029e+03		6.000000e-03
1.196080e+03		5.000000e-03
1.196131e+03		4.000000e-03
1.196182e+03		3.000000e-03
1.196234e+03		2.000000e-03
1.196285e+03		1.000000e-03
1.196336e+03		0.000000e+00
1.217187e+03		1.000000e-03
1.227987e+03		2.000000e-03
1.228787e+03		3.000000e-03
1.229587e+03		4.000000e-03
1.230387e+03		5.000000e-03
1.231187e+03		6.000000e-03
1.231987e+03		7.000000e-03
1.232787e+03		8.000000e-03
1.233587e+03		9.000000e-03
1.234387e+03		1.000000e-02
1.235187e+03		1.100000e-02
1.235987e+03		1.200000e-02
1.236787e+03		1.300000e-02
1.237587e+03		1.400000e-02
1.238387e+03		1.500000e-02
1.239187e+03		1.600000e-02
1.239987e+03		1.700000e-02
1.240787e+03		1.800000e-02
1.241587e+03		1.900000e-02
1.242387e+03		2.000000e-02
1.243187e+03		2.100000e-02
1.243987e+03		2.200000e-02
1.244787e+03		2.300000e-02
1.245587e+03		2.400000e-02
1.246387e+03		2.500000e-02
1.247187e+03		2.600000e-02
1.247987e+03		2.700000e-02
1.248787e+03		2.800000e-02
1.249587e+03		2.900000e-02
1.250387e+03		3.000000e-02
1.251187e+03		3.100000e-02
1.251987e+03		3.000000e-02
1.251987e+03		3.100000e-02
1.262038e+03		3.000000e-02
1.262090e+03		2.900000e-02
1.262141e+03		2.800000e-02
1.262192e+03		2.700000e-02
1.262243e+03		2.600000e-02
1.262294e+03		2.500000e-02
1.262346e+03		2.400000e-02
1.262397e+03		2.300000e-02
1.262448e+03		2.200000e-02
1.262499e+03		2.100000e-02
1.262550e+03		2.000000e-02
1.262602e+03		1.900000e-02
1.262653e+03		1.800000e-02
1.262704e+03		1.700000e-02
1.262755e+03		1.600000e-02
1.262806e+03		1.500000e-02
1.262858e+03		1.400000e-02
1.262909e+03		1.300000e-02
1.262960e+03		1.200000e-02
1.263011e+03		1.100000e-02
1.263062e+03		1.000000e-02
1.263114e+03		9.000000e-03
1.263165e+03		8.000000e-03
1.263216e+03		7.000000e-03
1.263267e+03		6.000000e-03
1.263318e+03		5.000000e-03
1.263370e+03		4.000000e-03
1.263421e+03		3.000000e-03
1.263472e+03		2.000000e-03
1.263523e+03		1.000000e-03
1.263574e+03		0.000000e+00
1.284426e+03		1.000000e-03
1.295226e+03		2.000000e-03
1.296026e+03		3.000000e-03
1.296826e+03		4.000000e-03
1.297626e+03		5.000000e-03
1.298426e+03		6.000000e-03
1.299226e+03		7.000000e-03
1.300026e+03		8.000000e-03
1.300826e+03		9.000000e-03
1.301626e+03		1.000000e-02
1.302426e+03		1.100000e-02
1.303226e+03		1.200000e-02
1.304026e+03		1.300000e-02
1.304826e+03		1.400000e-02
1.305626e+03		1.500000e-02
1.306426e+03		1.600000e-02
1.307226e+03		1.700000e-02
1.308026e+03		1.800000e-02
1.308826e+03		1.900000e-02
1.309626e+03		2.000000e-02
1.310426e+03		2.100000e-02
